expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
47.2144	1.70	4.28	8.64	2.99
563.153	1.70	4.28	8.64	2.99
46.8749	1.70	4.28	8.64	2.99
307.058	1.70	4.28	8.64	2.99
47.2144	1.01	4.35	7.12	2.39
563.153	1.01	4.35	7.12	2.39
307.058	1.01	4.35	7.12	2.39
47.2144	2.28	3.42	10.55	3.22
12.3486	2.28	3.42	10.55	3.22
307.058	2.28	3.42	10.55	3.22
47.2144	3.48	6.04	5.98	2.08
12.3486	3.48	6.04	5.98	2.08
307.058	3.48	6.04	5.98	2.08
47.2144	1.30	11.50	10.63	6.36
12.3486	1.30	11.50	10.63	6.36
307.058	1.30	11.50	10.63	6.36
47.2144	1.60	10.71	5.94	5.49
12.3486	1.60	10.71	5.94	5.49
307.058	1.60	10.71	5.94	5.49
47.2144	1.56	6.53	8.80	4.39
12.3486	1.56	6.53	8.80	4.39
307.058	1.56	6.53	8.80	4.39
47.2144	1.13	20.91	13.78	2.03
12.3486	1.13	20.91	13.78	2.03
307.058	1.13	20.91	13.78	2.03
12.3486	4.87	20.88	5.26	3.19
12.3486	3.01	21.40	5.99	1.95
12.3486	4.73	24.16	4.22	3.98
0.259599	9.91	1.84	3.26	2.70
0.0313888	9.91	1.84	3.26	2.70
0.259599	22.93	26.29	2.50	3.15
0.0313888	22.93	26.29	2.50	3.15
0.259599	16.63	9.81	2.64	2.67
0.0313888	16.63	9.81	2.64	2.67
307.663	5.04	9.99	7.09	1.62
9.71554	5.04	9.99	7.09	1.62
6.6294	5.04	9.99	7.09	1.62
4.82352	5.04	9.99	7.09	1.62
16.1802	3.58	4.65	6.36	3.08
52.1116	3.58	4.65	6.36	3.08
6.6294	3.58	4.65	6.36	3.08
52.1116	0.87	4.16	10.43	1.45
6.6294	0.87	4.16	10.43	1.45
4.82352	0.87	4.16	10.43	1.45
16.1802	4.63	41.89	4.29	2.34
0.589292	4.63	41.89	4.29	2.34
52.1116	4.63	41.89	4.29	2.34
6.6294	4.63	41.89	4.29	2.34
4.82352	4.63	41.89	4.29	2.34
16.1802	5.00	39.97	10.54	6.64
0.589292	5.00	39.97	10.54	6.64
52.1116	5.00	39.97	10.54	6.64
6.6294	5.00	39.97	10.54	6.64
32.0743	1.37	2.70	7.37	3.75
16.4231	1.37	2.70	7.37	3.75
25.2174	1.37	2.70	7.37	3.75
32.0743	0.89	9.71	7.49	1.23
16.4231	0.89	9.71	7.49	1.23
25.2174	0.89	9.71	7.49	1.23
7.41169	2.68	37.78	4.15	1.59
16.4231	2.68	37.78	4.15	1.59
7.41169	2.18	76.16	5.08	1.51
16.4231	2.18	76.16	5.08	1.51
10.6455	1.60	16.64	8.34	1.10
0.161697	1.60	16.64	8.34	1.10
0.181991	1.60	16.64	8.34	1.10
14.8881	1.60	16.64	8.34	1.10
0.161697	1.00	3.12	12.10	1.72
0.181991	1.00	3.12	12.10	1.72
14.8881	1.00	3.12	12.10	1.72
32.1243	1.04	17.82	8.04	1.75
32.1243	0.68	4.63	8.98	1.09
32.1243	1.14	6.82	13.60	2.43
32.1243	1.20	5.91	12.69	1.53
32.1243	0.37	13.27	6.59	2.87
32.1243	0.61	5.62	10.06	2.26
32.1243	0.69	6.14	10.88	2.06
0.0203838	1.64	22.75	9.08	1.28
17.0754	1.64	22.75	9.08	1.28
173.903	1.64	22.75	9.08	1.28
0.0203838	2.33	27.26	4.68	1.98
17.0754	2.33	27.26	4.68	1.98
173.903	2.33	27.26	4.68	1.98
3.39354	0.51	16.85	11.35	2.32
16.5441	0.51	16.85	11.35	2.32
3.39354	1.35	1.40	4.79	2.46
13.2992	0.66	4.66	7.85	1.88
14.1476	0.66	4.66	7.85	1.88
10.8845	0.66	12.29	3.30	2.77
32.1936	1.46	4.14	9.65	2.76
10.4193	1.46	4.14	9.65	2.76
32.1936	2.62	8.64	7.03	3.59
10.4193	2.62	8.64	7.03	3.59
32.1936	1.40	27.23	10.19	2.63
10.4193	1.40	27.23	10.19	2.63
21.3852	1.40	27.23	10.19	2.63
32.1936	1.29	8.00	10.66	3.45
10.4193	1.29	8.00	10.66	3.45
21.3852	1.29	8.00	10.66	3.45
21.3852	1.30	32.77	14.80	3.28
47.0741	0.56	12.15	8.94	2.47
0	0.56	12.15	8.94	2.47
47.0741	1.19	6.01	8.36	2.29
0	1.19	6.01	8.36	2.29
47.0741	0.91	38.46	14.56	3.54
0	0.91	38.46	14.56	3.54
47.0741	0.94	8.20	11.68	3.56
0	0.94	8.20	11.68	3.56
47.0741	0.79	28.15	16.86	4.07
0	0.79	28.15	16.86	4.07
0.105885	0.79	28.15	16.86	4.07
47.0741	0.82	15.96	18.22	3.48
0	0.82	15.96	18.22	3.48
47.0741	1.79	8.07	7.94	2.34
0	1.79	8.07	7.94	2.34
47.0741	0.59	8.30	5.60	1.83
0	0.59	8.30	5.60	1.83
47.0741	1.07	36.88	26.75	2.49
0	1.07	36.88	26.75	2.49
47.0741	1.39	3.42	11.16	8.92
0	1.39	3.42	11.16	8.92
47.0741	1.70	2.45	9.05	2.50
0	1.70	2.45	9.05	2.50
47.0741	2.58	22.77	12.70	2.15
0	2.58	22.77	12.70	2.15
2.24404	1.13	15.98	5.70	3.50
2.24404	1.67	2.06	7.34	3.62
2.24404	0.68	6.07	9.05	5.24
2.24404	2.77	22.76	4.80	2.49
4.70553	3.50	13.82	2.91	1.66
49.2964	3.50	13.82	2.91	1.66
4.70553	1.33	3.12	11.93	3.98
49.2964	1.33	3.12	11.93	3.98
4.70553	0.73	9.33	5.92	6.24
49.2964	0.73	9.33	5.92	6.24
4.70553	3.26	21.77	5.90	2.88
49.2964	3.26	21.77	5.90	2.88
4.70553	1.28	17.49	6.50	2.57
49.2964	1.28	17.49	6.50	2.57
4.70553	2.22	13.97	7.13	4.08
49.2964	2.22	13.97	7.13	4.08
3.06638	1.19	3.15	7.31	1.60
3.06638	0.73	7.72	13.68	1.51
3.06638	1.77	7.67	5.42	2.27
0.0137456	39.47	13.04	3.22	2.70
0.0177623	39.47	13.04	3.22	2.70
0.0343897	26.22	16.09	2.00	2.73
14.6781	26.22	16.09	2.00	2.73
0.0275934	26.22	16.09	2.00	2.73
0.23777	26.22	16.09	2.00	2.73
0.0343897	14.84	20.79	2.84	2.82
14.6781	14.84	20.79	2.84	2.82
0.0275934	14.84	20.79	2.84	2.82
0.23777	14.84	20.79	2.84	2.82
1.02681	0.94	5.37	11.14	1.57
1.02681	1.28	12.05	7.59	1.92
17.2695	1.35	11.01	4.88	1.89
1.38634	13.99	34.11	2.30	1.74
0.31711	2.18	4.43	8.01	10.45
6.8608	2.18	4.43	8.01	10.45
17.2695	2.18	4.43	8.01	10.45
1.61613	2.18	4.43	8.01	10.45
0.31711	0.68	6.71	11.55	3.88
6.8608	0.68	6.71	11.55	3.88
17.2695	0.68	6.71	11.55	3.88
1.61613	0.68	6.71	11.55	3.88
0.31711	0.31	17.73	3.17	0.87
6.8608	0.31	17.73	3.17	0.87
17.2695	0.31	17.73	3.17	0.87
1.61613	0.31	17.73	3.17	0.87
53.0949	0.31	17.73	3.17	0.87
0.100285	2.36	17.48	7.72	1.62
1.50442	2.36	17.48	7.72	1.62
13.0643	2.36	17.48	7.72	1.62
0.658914	2.36	17.48	7.72	1.62
0.0232104	1.99	33.37	3.73	1.29
0.100285	1.99	33.37	3.73	1.29
13.0643	1.99	33.37	3.73	1.29
6.4003	1.99	33.37	3.73	1.29
0.658914	1.99	33.37	3.73	1.29
0.0232104	2.84	8.93	3.05	1.77
13.0643	2.84	8.93	3.05	1.77
6.4003	2.84	8.93	3.05	1.77
0.658914	2.84	8.93	3.05	1.77
0.0232104	0.80	17.81	4.04	1.69
16.4592	0.80	17.81	4.04	1.69
6.4003	0.80	17.81	4.04	1.69
16.4592	1.53	10.48	6.92	2.07
4.67792	1.53	10.48	6.92	2.07
4.03412	1.84	5.58	10.93	1.90
16.4592	1.84	5.58	10.93	1.90
4.67792	1.84	5.58	10.93	1.90
4.03412	1.25	17.85	4.80	1.52
16.4592	1.25	17.85	4.80	1.52
4.67792	1.25	17.85	4.80	1.52
4.03412	1.69	24.84	7.34	2.42
16.4592	1.69	24.84	7.34	2.42
4.03412	2.01	23.55	7.18	1.83
16.4592	2.01	23.55	7.18	1.83
4.67792	2.01	23.55	7.18	1.83
4.03412	4.80	29.07	5.51	2.19
16.4592	4.80	29.07	5.51	2.19
4.67792	4.80	29.07	5.51	2.19
4.03412	0.98	18.94	7.38	1.72
4.67792	0.98	18.94	7.38	1.72
4.67792	4.11	43.15	2.15	4.54
97.5373	0.99	1.24	10.18	8.41
97.5373	0.85	12.84	4.11	8.30
97.5373	1.84	29.31	11.32	1.77
20.4918	1.94	8.92	3.12	1.18
20.4918	0.53	32.76	3.91	1.24
20.4918	1.64	4.79	6.88	1.75
20.4918	1.68	34.00	5.82	3.26
20.4918	1.24	2.60	8.77	3.10
10.5868	1.17	3.79	10.41	2.62
10.5868	1.68	3.84	7.74	3.14
10.5868	0.97	10.73	11.40	2.67
10.5868	0.99	4.88	11.08	2.21
10.5868	0.84	4.52	9.77	2.09
10.5868	1.47	13.43	6.90	1.90
10.5868	0.97	3.40	9.10	2.28
14.6772	2.13	16.92	4.56	2.56
10.5868	2.13	16.92	4.56	2.56
34.3062	1.45	19.79	10.68	1.10
10.4677	1.45	19.79	10.68	1.10
34.3062	1.23	12.09	8.97	1.31
10.4677	1.23	12.09	8.97	1.31
10.4677	4.37	11.68	4.24	2.21
10.4677	1.37	19.21	10.85	1.30
2.5351	7.61	14.09	2.86	1.03
118.288	7.61	14.09	2.86	1.03
1.35849	7.61	14.09	2.86	1.03
2.5351	2.17	75.03	10.80	2.29
118.288	2.17	75.03	10.80	2.29
1.35849	2.17	75.03	10.80	2.29
0.412665	0.76	2.56	9.18	1.93
2.76374	0.76	2.56	9.18	1.93
2.91926	1.82	6.27	2.68	1.73
29.544	1.24	5.38	7.42	1.66
2.91926	1.24	5.38	7.42	1.66
29.544	0.71	13.11	5.39	0.44
2.91926	0.71	13.11	5.39	0.44
29.544	1.24	9.38	7.63	2.77
2.91926	1.24	9.38	7.63	2.77
51.1523	1.06	1.73	13.06	10.86
51.1523	0.89	7.34	13.50	4.17
51.1523	1.67	2.60	9.43	5.06
