expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
47.2144	1.26	153.31	13.42	2.20
307.058	1.26	153.31	13.42	2.20
12.3486	2.28	57.73	7.67	2.46
0.259599	15.54	75.08	3.68	2.96
0.0313888	37.09	77.72	2.93	2.44
307.663	1.16	67.31	11.42	5.29
9.71554	1.16	67.31	11.42	5.29
4.82352	1.76	111.30	5.79	1.86
6.6294	1.67	85.86	7.43	1.12
52.1116	1.58	122.56	6.99	3.00
16.1802	1.01	80.96	7.91	7.83
0.589292	1.59	4.93	14.93	2.71
32.0743	1.52	83.45	5.57	4.65
25.2174	5.00	81.72	8.17	2.84
16.4231	1.50	122.54	9.18	1.40
7.41169	0.85	101.59	5.24	2.04
10.6455	2.96	25.86	4.17	1.35
0.161697	1.16	126.33	15.09	1.68
0.181991	1.16	126.33	15.09	1.68
14.8881	1.16	126.33	15.09	1.68
32.1243	1.13	119.38	9.18	4.88
173.903	3.53	80.12	6.20	3.09
0.0203838	1.48	94.13	5.61	1.26
17.0754	1.48	94.13	5.61	1.26
3.39354	5.28	57.07	3.95	1.39
16.5441	3.62	107.24	6.33	1.42
13.2992	2.49	79.48	5.81	1.53
14.1476	2.49	79.48	5.81	1.53
10.8845	1.13	114.45	9.98	2.77
32.1936	2.75	117.30	8.88	1.97
10.4193	2.75	117.30	8.88	1.97
21.3852	2.63	92.35	6.03	2.20
0.105885	2.54	32.61	5.53	0.97
47.0741	1.24	70.10	15.63	8.75
0	1.24	70.10	15.63	8.75
2.24404	3.17	148.61	8.54	2.14
49.2964	1.10	55.19	16.38	2.51
4.70553	1.21	87.27	7.57	1.45
3.06638	1.51	118.21	5.72	2.46
0.0177623	23.53	39.38	2.81	1.69
0.0137456	41.30	39.22	3.01	1.70
14.6781	12.35	39.86	6.06	2.28
0.23777	34.14	56.52	4.73	2.42
0.0343897	32.41	52.53	2.40	2.72
0.0275934	32.41	52.53	2.40	2.72
1.02681	0.73	122.02	8.25	0.87
1.38634	14.05	58.92	2.99	2.66
17.2695	1.80	116.39	7.89	2.37
0.31711	6.02	80.29	6.08	2.53
6.8608	6.02	80.29	6.08	2.53
1.61613	1.06	16.78	10.08	1.33
53.0949	1.60	99.89	3.13	0.98
1.50442	2.10	19.58	2.34	1.74
0.658914	7.34	36.47	3.07	2.24
13.0643	3.40	57.31	3.07	2.26
0.100285	5.99	14.20	0.82	2.34
0.0232104	2.48	135.59	7.43	1.68
6.4003	2.48	135.59	7.43	1.68
16.4592	2.22	137.99	8.26	1.64
4.03412	1.55	156.20	8.39	2.37
4.67792	1.26	99.52	4.90	2.25
97.5373	2.16	95.66	7.45	4.59
20.4918	0.65	70.23	8.16	8.03
10.5868	2.20	53.79	8.09	2.35
14.6772	3.03	82.97	5.59	2.29
34.3062	1.58	107.95	7.69	1.45
10.4677	0.96	118.37	8.10	3.74
2.5351	1.25	111.22	3.91	2.25
118.288	1.25	111.22	3.91	2.25
1.35849	2.77	67.09	5.16	0.70
